_id,FinancialYear,HBR,HBRQF,AgeGroup,Sex,Dataset,DatasetQF,DischargeCount,DischargeCountQF,DischargeRates,DischargeRatesQF,PatientsCount,PatientCountQF,PatientsRates,PatientRatesQF
1,1997/98,S92000003,d,0-17 years,Male,Total,d,780, ,133.93, ,700, ,120.19, 
2,1997/98,S92000003,d,0-17 years,Female,Total,d,710, ,127.25, ,610, ,109.33, 
3,1997/98,S92000003,d,18-24 years,Male,Total,d,2020, ,913.05, ,1360, ,614.73, 
4,1997/98,S92000003,d,18-24 years,Female,Total,d,1310, ,589.16, ,860, ,386.78, 
5,1997/98,S92000003,d,25-39 years,Male,Total,d,6450, ,1123.62, ,4240, ,738.63, 
6,1997/98,S92000003,d,25-39 years,Female,Total,d,4900, ,817.63, ,3060, ,510.6, 
7,1997/98,S92000003,d,40-64 years,Male,Total,d,7280, ,968.46, ,4930, ,655.84, 
8,1997/98,S92000003,d,40-64 years,Female,Total,d,5390, ,686.33, ,3650, ,464.77, 
9,1997/98,S92000003,d,65plus years,Male,Total,d,5080, ,1623.35, ,3400, ,1086.49, 
10,1997/98,S92000003,d,65plus years,Female,Total,d,7860, ,1650.94, ,5570, ,1169.94, 
11,1998/99,S92000003,d,0-17 years,Male,Total,d,780, ,134.98, ,700, ,121.13, 
12,1998/99,S92000003,d,0-17 years,Female,Total,d,720, ,130.22, ,580, ,104.9, 
13,1998/99,S92000003,d,18-24 years,Male,Total,d,1900, ,871.51, ,1300, ,596.3, 
14,1998/99,S92000003,d,18-24 years,Female,Total,d,1360, ,619.8, ,890, ,405.6, 
15,1998/99,S92000003,d,25-39 years,Male,Total,d,6520, ,1151.78, ,4260, ,752.54, 
16,1998/99,S92000003,d,25-39 years,Female,Total,d,4900, ,825.13, ,3140, ,528.75, 
17,1998/99,S92000003,d,40-64 years,Male,Total,d,7160, ,940.53, ,4880, ,641.03, 
18,1998/99,S92000003,d,40-64 years,Female,Total,d,5480, ,689.26, ,3750, ,471.67, 
19,1998/99,S92000003,d,65plus years,Male,Total,d,5180, ,1640.55, ,3520, ,1114.82, 
20,1998/99,S92000003,d,65plus years,Female,Total,d,7900, ,1656.77, ,5590, ,1172.32, 
21,1999/00,S92000003,d,0-17 years,Male,Total,d,740, ,129.34, ,660, ,115.36, 
22,1999/00,S92000003,d,0-17 years,Female,Total,d,660, ,120.6, ,560, ,102.33, 
23,1999/00,S92000003,d,18-24 years,Male,Total,d,2120, ,968.26, ,1470, ,671.39, 
24,1999/00,S92000003,d,18-24 years,Female,Total,d,1250, ,567.91, ,850, ,386.18, 
25,1999/00,S92000003,d,25-39 years,Male,Total,d,6580, ,1184.05, ,4200, ,755.78, 
26,1999/00,S92000003,d,25-39 years,Female,Total,d,4480, ,764.63, ,2950, ,503.5, 
27,1999/00,S92000003,d,40-64 years,Male,Total,d,7530, ,976.14, ,5030, ,652.06, 
28,1999/00,S92000003,d,40-64 years,Female,Total,d,5550, ,689.08, ,3840, ,476.77, 
29,1999/00,S92000003,d,65plus years,Male,Total,d,5060, ,1589.47, ,3400, ,1068.02, 
30,1999/00,S92000003,d,65plus years,Female,Total,d,7310, ,1533.37, ,5240, ,1099.16, 
31,2000/01,S92000003,d,0-17 years,Male,Total,d,740, ,130.52, ,650, ,114.64, 
32,2000/01,S92000003,d,0-17 years,Female,Total,d,580, ,107.2, ,520, ,96.11, 
33,2000/01,S92000003,d,18-24 years,Male,Total,d,2090, ,954, ,1400, ,639.04, 
34,2000/01,S92000003,d,18-24 years,Female,Total,d,1220, ,554.89, ,850, ,386.61, 
35,2000/01,S92000003,d,25-39 years,Male,Total,d,6470, ,1191.98, ,4130, ,760.88, 
36,2000/01,S92000003,d,25-39 years,Female,Total,d,4640, ,804.2, ,2920, ,506.09, 
37,2000/01,S92000003,d,40-64 years,Male,Total,d,7520, ,962.57, ,5050, ,646.4, 
38,2000/01,S92000003,d,40-64 years,Female,Total,d,5510, ,675.65, ,3760, ,461.06, 
39,2000/01,S92000003,d,65plus years,Male,Total,d,4740, ,1472.83, ,3140, ,975.67, 
40,2000/01,S92000003,d,65plus years,Female,Total,d,7020, ,1469.68, ,4980, ,1042.59, 
41,2001/02,S92000003,d,0-17 years,Male,Total,d,720, ,128.1, ,620, ,110.31, 
42,2001/02,S92000003,d,0-17 years,Female,Total,d,620, ,115.77, ,530, ,98.97, 
43,2001/02,S92000003,d,18-24 years,Male,Total,d,2020, ,915.51, ,1340, ,607.32, 
44,2001/02,S92000003,d,18-24 years,Female,Total,d,1130, ,514.22, ,790, ,359.5, 
45,2001/02,S92000003,d,25-39 years,Male,Total,d,6420, ,1206.78, ,4000, ,751.89, 
46,2001/02,S92000003,d,25-39 years,Female,Total,d,4510, ,794.91, ,2880, ,507.61, 
47,2001/02,S92000003,d,40-64 years,Male,Total,d,7400, ,933.96, ,5000, ,631.06, 
48,2001/02,S92000003,d,40-64 years,Female,Total,d,5950, ,719.17, ,3920, ,473.8, 
49,2001/02,S92000003,d,65plus years,Male,Total,d,4630, ,1417.16, ,3120, ,954.98, 
50,2001/02,S92000003,d,65plus years,Female,Total,d,6670, ,1388.22, ,4740, ,986.53, 
51,2002/03,S92000003,d,0-17 years,Male,Total,d,620, ,111.44, ,520, ,93.46, 
52,2002/03,S92000003,d,0-17 years,Female,Total,d,580, ,109.18, ,500, ,94.12, 
53,2002/03,S92000003,d,18-24 years,Male,Total,d,1800, ,802.88, ,1220, ,544.17, 
54,2002/03,S92000003,d,18-24 years,Female,Total,d,1220, ,546.84, ,840, ,376.51, 
55,2002/03,S92000003,d,25-39 years,Male,Total,d,6170, ,1187.32, ,3980, ,765.89, 
56,2002/03,S92000003,d,25-39 years,Female,Total,d,4360, ,785.49, ,2790, ,502.64, 
57,2002/03,S92000003,d,40-64 years,Male,Total,d,7440, ,924.89, ,5120, ,636.48, 
58,2002/03,S92000003,d,40-64 years,Female,Total,d,5880, ,700.75, ,3960, ,471.93, 
59,2002/03,S92000003,d,65plus years,Male,Total,d,4670, ,1410.91, ,3180, ,960.75, 
60,2002/03,S92000003,d,65plus years,Female,Total,d,6550, ,1359.28, ,4720, ,979.52, 
61,2003/04,S92000003,d,0-17 years,Male,Total,d,540, ,98.28, ,480, ,87.36, 
62,2003/04,S92000003,d,0-17 years,Female,Total,d,540, ,102.77, ,460, ,87.54, 
63,2003/04,S92000003,d,18-24 years,Male,Total,d,1780, ,779.7, ,1170, ,512.5, 
64,2003/04,S92000003,d,18-24 years,Female,Total,d,1140, ,501.91, ,780, ,343.41, 
65,2003/04,S92000003,d,25-39 years,Male,Total,d,5990, ,1175.57, ,3860, ,757.54, 
66,2003/04,S92000003,d,25-39 years,Female,Total,d,4100, ,755.68, ,2670, ,492.11, 
67,2003/04,S92000003,d,40-64 years,Male,Total,d,7580, ,929.74, ,5140, ,630.46, 
68,2003/04,S92000003,d,40-64 years,Female,Total,d,5960, ,699.32, ,4090, ,479.9, 
69,2003/04,S92000003,d,65plus years,Male,Total,d,4560, ,1359.06, ,3200, ,953.73, 
70,2003/04,S92000003,d,65plus years,Female,Total,d,6800, ,1407.85, ,4710, ,975.14, 
71,2004/05,S92000003,d,0-17 years,Male,Total,d,470, ,86.24, ,410, ,75.23, 
72,2004/05,S92000003,d,0-17 years,Female,Total,d,450, ,86.27, ,390, ,74.77, 
73,2004/05,S92000003,d,18-24 years,Male,Total,d,1780, ,773.88, ,1160, ,504.32, 
74,2004/05,S92000003,d,18-24 years,Female,Total,d,1080, ,468.25, ,720, ,312.16, 
75,2004/05,S92000003,d,25-39 years,Male,Total,d,5710, ,1134.95, ,3720, ,739.41, 
76,2004/05,S92000003,d,25-39 years,Female,Total,d,4020, ,753.29, ,2560, ,479.71, 
77,2004/05,S92000003,d,40-64 years,Male,Total,d,7740, ,934.83, ,5130, ,619.59, 
78,2004/05,S92000003,d,40-64 years,Female,Total,d,5900, ,680.49, ,4010, ,462.5, 
79,2004/05,S92000003,d,65plus years,Male,Total,d,4340, ,1274.57, ,3030, ,889.85, 
80,2004/05,S92000003,d,65plus years,Female,Total,d,6080, ,1254.24, ,4440, ,915.93, 
81,2005/06,S92000003,d,0-17 years,Male,Total,d,460, ,84.86, ,400, ,73.79, 
82,2005/06,S92000003,d,0-17 years,Female,Total,d,450, ,86.84, ,360, ,69.47, 
83,2005/06,S92000003,d,18-24 years,Male,Total,d,1510, ,649.51, ,990, ,425.84, 
84,2005/06,S92000003,d,18-24 years,Female,Total,d,1040, ,442.99, ,700, ,298.17, 
85,2005/06,S92000003,d,25-39 years,Male,Total,d,5460, ,1093.24, ,3540, ,708.8, 
86,2005/06,S92000003,d,25-39 years,Female,Total,d,3580, ,678.72, ,2340, ,443.63, 
87,2005/06,S92000003,d,40-64 years,Male,Total,d,7740, ,919.45, ,5180, ,615.34, 
88,2005/06,S92000003,d,40-64 years,Female,Total,d,5850, ,663.49, ,3900, ,442.33, 
89,2005/06,S92000003,d,65plus years,Male,Total,d,4130, ,1195.35, ,2950, ,853.82, 
90,2005/06,S92000003,d,65plus years,Female,Total,d,5900, ,1211.96, ,4310, ,885.35, 
91,2006/07,S92000003,d,0-17 years,Male,Total,d,460, ,85.47, ,410, ,76.18, 
92,2006/07,S92000003,d,0-17 years,Female,Total,d,440, ,85.49, ,360, ,69.95, 
93,2006/07,S92000003,d,18-24 years,Male,Total,d,1400, ,595.75, ,980, ,417.02, 
94,2006/07,S92000003,d,18-24 years,Female,Total,d,1000, ,421.82, ,650, ,274.18, 
95,2006/07,S92000003,d,25-39 years,Male,Total,d,5200, ,1045.06, ,3320, ,667.23, 
96,2006/07,S92000003,d,25-39 years,Female,Total,d,3460, ,661.8, ,2210, ,422.71, 
97,2006/07,S92000003,d,40-64 years,Male,Total,d,7980, ,933.65, ,5250, ,614.24, 
98,2006/07,S92000003,d,40-64 years,Female,Total,d,5700, ,636.74, ,3840, ,428.96, 
99,2006/07,S92000003,d,65plus years,Male,Total,d,4260, ,1218.57, ,3020, ,863.87, 
100,2006/07,S92000003,d,65plus years,Female,Total,d,6060, ,1241.33, ,4260, ,872.62, 
101,2007/08,S92000003,d,0-17 years,Male,Total,d,470, ,87.27, ,420, ,77.98, 
102,2007/08,S92000003,d,0-17 years,Female,Total,d,490, ,95.24, ,420, ,81.63, 
103,2007/08,S92000003,d,18-24 years,Male,Total,d,1430, ,602.74, ,1000, ,421.5, 
104,2007/08,S92000003,d,18-24 years,Female,Total,d,1010, ,423, ,690, ,288.98, 
105,2007/08,S92000003,d,25-39 years,Male,Total,d,5390, ,1084.64, ,3410, ,686.2, 
106,2007/08,S92000003,d,25-39 years,Female,Total,d,3520, ,675.68, ,2270, ,435.74, 
107,2007/08,S92000003,d,40-64 years,Male,Total,d,8410, ,968.38, ,5380, ,619.49, 
108,2007/08,S92000003,d,40-64 years,Female,Total,d,5940, ,653.81, ,3910, ,430.37, 
109,2007/08,S92000003,d,65plus years,Male,Total,d,4310, ,1212.97, ,3000, ,844.3, 
110,2007/08,S92000003,d,65plus years,Female,Total,d,5620, ,1145.3, ,4040, ,823.31, 
111,2008/09,S92000003,d,0-17 years,Male,Total,d,440, ,81.8, ,370, ,68.79, 
112,2008/09,S92000003,d,0-17 years,Female,Total,d,450, ,87.48, ,370, ,71.93, 
113,2008/09,S92000003,d,18-24 years,Male,Total,d,1290, ,536.48, ,910, ,378.45, 
114,2008/09,S92000003,d,18-24 years,Female,Total,d,1030, ,427.1, ,710, ,294.41, 
115,2008/09,S92000003,d,25-39 years,Male,Total,d,5360, ,1081.76, ,3390, ,684.17, 
116,2008/09,S92000003,d,25-39 years,Female,Total,d,3470, ,670.67, ,2310, ,446.47, 
117,2008/09,S92000003,d,40-64 years,Male,Total,d,8660, ,985.38, ,5590, ,636.06, 
118,2008/09,S92000003,d,40-64 years,Female,Total,d,5880, ,639.47, ,4010, ,436.1, 
119,2008/09,S92000003,d,65plus years,Male,Total,d,4360, ,1202.36, ,3090, ,852.13, 
120,2008/09,S92000003,d,65plus years,Female,Total,d,5640, ,1139.07, ,4020, ,811.89, 
121,2009/10,S92000003,d,0-17 years,Male,Total,d,410, ,76.16, ,340, ,63.16, 
122,2009/10,S92000003,d,0-17 years,Female,Total,d,390, ,75.82, ,320, ,62.21, 
123,2009/10,S92000003,d,18-24 years,Male,Total,d,1260, ,519.87, ,900, ,371.33, 
124,2009/10,S92000003,d,18-24 years,Female,Total,d,980, ,403.05, ,700, ,287.89, 
125,2009/10,S92000003,d,25-39 years,Male,Total,d,4750, ,963.12, ,3120, ,632.62, 
126,2009/10,S92000003,d,25-39 years,Female,Total,d,3270, ,636.48, ,2140, ,416.54, 
127,2009/10,S92000003,d,40-64 years,Male,Total,d,8200, ,924.28, ,5310, ,598.53, 
128,2009/10,S92000003,d,40-64 years,Female,Total,d,5700, ,613.59, ,3850, ,414.45, 
129,2009/10,S92000003,d,65plus years,Male,Total,d,4230, ,1140.5, ,2970, ,800.77, 
130,2009/10,S92000003,d,65plus years,Female,Total,d,5510, ,1102.7, ,3900, ,780.49, 
131,2010/11,S92000003,d,0-17 years,Male,Total,d,340, ,63.56, ,290, ,54.21, 
132,2010/11,S92000003,d,0-17 years,Female,Total,d,430, ,84.22, ,330, ,64.63, 
133,2010/11,S92000003,d,18-24 years,Male,Total,d,1230, ,497.2, ,880, ,355.72, 
134,2010/11,S92000003,d,18-24 years,Female,Total,d,910, ,365.65, ,640, ,257.16, 
135,2010/11,S92000003,d,25-39 years,Male,Total,d,4820, ,978.11, ,3100, ,629.08, 
136,2010/11,S92000003,d,25-39 years,Female,Total,d,3340, ,651.65, ,2130, ,415.57, 
137,2010/11,S92000003,d,40-64 years,Male,Total,d,8160, ,911.87, ,5160, ,576.62, 
138,2010/11,S92000003,d,40-64 years,Female,Total,d,5360, ,571.42, ,3590, ,382.73, 
139,2010/11,S92000003,d,65plus years,Male,Total,d,4590, ,1213.55, ,3060, ,809.03, 
140,2010/11,S92000003,d,65plus years,Female,Total,d,5970, ,1184.54, ,4030, ,799.62, 
141,2011/12,S92000003,d,0-17 years,Male,Total,d,350, ,65.59, ,300, ,56.22, 
142,2011/12,S92000003,d,0-17 years,Female,Total,d,400, ,78.67, ,320, ,62.94, 
143,2011/12,S92000003,d,18-24 years,Male,Total,d,1250, ,496.1, ,890, ,353.23, 
144,2011/12,S92000003,d,18-24 years,Female,Total,d,890, ,351.58, ,630, ,248.87, 
145,2011/12,S92000003,d,25-39 years,Male,Total,d,4880, ,986.85, ,3060, ,618.8, 
146,2011/12,S92000003,d,25-39 years,Female,Total,d,3310, ,646.82, ,2100, ,410.37, 
147,2011/12,S92000003,d,40-64 years,Male,Total,d,8690, ,962.17, ,5330, ,590.15, 
148,2011/12,S92000003,d,40-64 years,Female,Total,d,5710, ,602.98, ,3720, ,392.83, 
149,2011/12,S92000003,d,65plus years,Male,Total,d,4820, ,1245.29, ,3120, ,806.08, 
150,2011/12,S92000003,d,65plus years,Female,Total,d,6290, ,1235.01, ,4070, ,799.13, 
151,2012/13,S92000003,d,0-17 years,Male,Total,d,350, ,65.83, ,260, ,48.9, 
152,2012/13,S92000003,d,0-17 years,Female,Total,d,500, ,98.72, ,380, ,75.02, 
153,2012/13,S92000003,d,18-24 years,Male,Total,d,1220, ,483.52, ,850, ,336.88, 
154,2012/13,S92000003,d,18-24 years,Female,Total,d,960, ,379.85, ,630, ,249.28, 
155,2012/13,S92000003,d,25-39 years,Male,Total,d,4520, ,918.06, ,2860, ,580.89, 
156,2012/13,S92000003,d,25-39 years,Female,Total,d,3090, ,605.98, ,2010, ,394.18, 
157,2012/13,S92000003,d,40-64 years,Male,Total,d,8380, ,933.21, ,5280, ,587.99, 
158,2012/13,S92000003,d,40-64 years,Female,Total,d,5710, ,604.63, ,3660, ,387.55, 
159,2012/13,S92000003,d,65plus years,Male,Total,d,5020, ,1245.75, ,3220, ,799.07, 
160,2012/13,S92000003,d,65plus years,Female,Total,d,6530, ,1249.11, ,4170, ,797.67, 
161,2013/14,S92000003,d,0-17 years,Male,Total,d,370, ,69.86, ,290, ,54.75, 
162,2013/14,S92000003,d,0-17 years,Female,Total,d,520, ,102.92, ,380, ,75.21, 
163,2013/14,S92000003,d,18-24 years,Male,Total,d,1180, ,470.29, ,850, ,338.77, 
164,2013/14,S92000003,d,18-24 years,Female,Total,d,1010, ,404.3, ,670, ,268.2, 
165,2013/14,S92000003,d,25-39 years,Male,Total,d,4720, ,953.13, ,2940, ,593.68, 
166,2013/14,S92000003,d,25-39 years,Female,Total,d,3030, ,592.17, ,1880, ,367.42, 
167,2013/14,S92000003,d,40-64 years,Male,Total,d,8780, ,980.32, ,5420, ,605.16, 
168,2013/14,S92000003,d,40-64 years,Female,Total,d,5910, ,626.97, ,3720, ,394.64, 
169,2013/14,S92000003,d,65plus years,Male,Total,d,5350, ,1288.33, ,3290, ,792.26, 
170,2013/14,S92000003,d,65plus years,Female,Total,d,6760, ,1271.56, ,4040, ,759.93, 
171,2014/15,S92000003,d,0-17 years,Male,Total,d,350, ,66.27, ,280, ,53.01, 
172,2014/15,S92000003,d,0-17 years,Female,Total,d,530, ,105.05, ,380, ,75.32, 
173,2014/15,S92000003,d,18-24 years,Male,Total,d,1170, ,469.73, ,810, ,325.2, 
174,2014/15,S92000003,d,18-24 years,Female,Total,d,1060, ,428.26, ,670, ,270.7, 
175,2014/15,S92000003,d,25-39 years,Male,Total,d,4950, ,990.79, ,2920, ,584.47, 
176,2014/15,S92000003,d,25-39 years,Female,Total,d,2970, ,574.92, ,1810, ,350.37, 
177,2014/15,S92000003,d,40-64 years,Male,Total,d,9100, ,1019.36, ,5240, ,586.97, 
178,2014/15,S92000003,d,40-64 years,Female,Total,d,5960, ,633.4, ,3590, ,381.53, 
179,2014/15,S92000003,d,65plus years,Male,Total,d,5850, ,1370.1, ,3350, ,784.59, 
180,2014/15,S92000003,d,65plus years,Female,Total,d,7530, ,1390.65, ,4290, ,792.28, 
181,2015/16,S92000003,d,0-17 years,Male,Total,d,420, ,79.63, ,330, ,62.57, 
182,2015/16,S92000003,d,0-17 years,Female,Total,d,520, ,103.24, ,370, ,73.46, 
183,2015/16,S92000003,d,18-24 years,Male,Total,d,1330, ,534.49, ,900, ,361.68, 
184,2015/16,S92000003,d,18-24 years,Female,Total,d,1060, ,428.47, ,680, ,274.87, 
185,2015/16,S92000003,d,25-39 years,Male,Total,d,5020, ,987.69, ,2960, ,582.38, 
186,2015/16,S92000003,d,25-39 years,Female,Total,d,3110, ,593.89, ,1850, ,353.28, 
187,2015/16,S92000003,d,40-64 years,Male,Total,d,9870, ,1108.66, ,5420, ,608.81, 
188,2015/16,S92000003,d,40-64 years,Female,Total,d,6400, ,680.5, ,3600, ,382.78, 
189,2015/16,S92000003,d,65plus years,Male,Total,d,6690, ,1535.53, ,3640, ,835.47, 
190,2015/16,S92000003,d,65plus years,Female,Total,d,7980, ,1458.02, ,4340, ,792.96, 
191,2016/17,S92000003,d,0-17 years,Male,Total,d,420, ,79.55, ,330, ,62.5, 
192,2016/17,S92000003,d,0-17 years,Female,Total,d,530, ,105.2, ,400, ,79.4, 
193,2016/17,S92000003,d,18-24 years,Male,Total,d,1370, ,555.72, ,910, ,369.13, 
194,2016/17,S92000003,d,18-24 years,Female,Total,d,1060, ,432.98, ,690, ,281.84, 
195,2016/17,S92000003,d,25-39 years,Male,Total,d,5430, ,1044.79, ,3040, ,584.93, 
196,2016/17,S92000003,d,25-39 years,Female,Total,d,3430, ,642.24, ,1960, ,366.99, 
197,2016/17,S92000003,d,40-64 years,Male,Total,d,10010, ,1126.08, ,5350, ,601.85, 
198,2016/17,S92000003,d,40-64 years,Female,Total,d,6530, ,694.66, ,3690, ,392.54, 
199,2016/17,S92000003,d,65plus years,Male,Total,d,7060, ,1588.82, ,3680, ,828.16, 
200,2016/17,S92000003,d,65plus years,Female,Total,d,8490, ,1531.12, ,4400, ,793.51, 
201,2017/18,S92000003,d,0-17 years,Male,Total,d,470, ,89.08, ,350, ,66.34, 
202,2017/18,S92000003,d,0-17 years,Female,Total,d,540, ,107.47, ,400, ,79.61, 
203,2017/18,S92000003,d,18-24 years,Male,Total,d,1370, ,564.89, ,880, ,362.85, 
204,2017/18,S92000003,d,18-24 years,Female,Total,d,1170, ,491.14, ,710, ,298.04, 
205,2017/18,S92000003,d,25-39 years,Male,Total,d,5390, ,1014.89, ,3030, ,570.52, 
206,2017/18,S92000003,d,25-39 years,Female,Total,d,3390, ,621.69, ,1970, ,361.28, 
207,2017/18,S92000003,d,40-64 years,Male,Total,d,10200, ,1150.13, ,5360, ,604.38, 
208,2017/18,S92000003,d,40-64 years,Female,Total,d,6420, ,684.29, ,3560, ,379.45, 
209,2017/18,S92000003,d,65plus years,Male,Total,d,7930, ,1753.57, ,3940, ,871.26, 
210,2017/18,S92000003,d,65plus years,Female,Total,d,9850, ,1757.84, ,4760, ,849.48, 
211,2018/19,S92000003,d,0-17 years,Male,Total,d,450, ,85.41, ,340, ,64.53, 
212,2018/19,S92000003,d,0-17 years,Female,Total,d,700, ,139.46, ,440, ,87.66, 
213,2018/19,S92000003,d,18-24 years,Male,Total,d,1440, ,601.19, ,890, ,371.57, 
214,2018/19,S92000003,d,18-24 years,Female,Total,d,1370, ,588.98, ,740, ,318.14, 
215,2018/19,S92000003,d,25-39 years,Male,Total,d,5690, ,1055.22, ,3150, ,584.17, 
216,2018/19,S92000003,d,25-39 years,Female,Total,d,3860, ,698.8, ,2050, ,371.13, 
217,2018/19,S92000003,d,40-64 years,Male,Total,d,10440, ,1181.93, ,5330, ,603.42, 
218,2018/19,S92000003,d,40-64 years,Female,Total,d,6740, ,719.96, ,3590, ,383.48, 
219,2018/19,S92000003,d,65plus years,Male,Total,d,7780, ,1691.87, ,3890, ,845.94, 
220,2018/19,S92000003,d,65plus years,Female,Total,d,10320, ,1822.46, ,4910, ,867.08, 
221,2019/20,S92000003,d,0-17 years,Male,Total,d,520, ,98.57, ,330, ,62.56, 
222,2019/20,S92000003,d,0-17 years,Female,Total,d,770, ,153.5, ,480, ,95.69, 
223,2019/20,S92000003,d,18-24 years,Male,Total,d,1360, ,575.1, ,880, ,372.13, 
224,2019/20,S92000003,d,18-24 years,Female,Total,d,1490, ,649.3, ,840, ,366.05, 
225,2019/20,S92000003,d,25-39 years,Male,Total,d,6180, ,1131.03, ,3290, ,602.12, 
226,2019/20,S92000003,d,25-39 years,Female,Total,d,3820, ,684.79, ,2060, ,369.28, 
227,2019/20,S92000003,d,40-64 years,Male,Total,d,11750, ,1330.44, ,5570, ,630.68, 
228,2019/20,S92000003,d,40-64 years,Female,Total,d,7090, ,756.97, ,3730, ,398.24, 
229,2019/20,S92000003,d,65plus years,Male,Total,d,8580, ,1827.76, ,4020, ,856.37, 
230,2019/20,S92000003,d,65plus years,Female,Total,d,10940, ,1903.54, ,4820, ,838.67, 
231,2020/21,S92000003,d,0-17 years,Male,Total,d,340, ,64.57, ,290, ,55.07, 
232,2020/21,S92000003,d,0-17 years,Female,Total,d,830, ,165.88, ,530, ,105.92, 
233,2020/21,S92000003,d,18-24 years,Male,Total,d,1380, ,595.8, ,820, ,354.02, 
234,2020/21,S92000003,d,18-24 years,Female,Total,d,1340, ,595.24, ,740, ,328.71, 
235,2020/21,S92000003,d,25-39 years,Male,Total,d,5790, ,1054.92, ,2910, ,530.19, 
236,2020/21,S92000003,d,25-39 years,Female,Total,d,3570, ,639.69, ,1880, ,336.87, 
237,2020/21,S92000003,d,40-64 years,Male,Total,d,10950, ,1240.98, ,5060, ,573.46, 
238,2020/21,S92000003,d,40-64 years,Female,Total,d,6540, ,698.01, ,3280, ,350.07, 
239,2020/21,S92000003,d,65plus years,Male,Total,d,8530, ,1792.77, ,3710, ,779.74, 
240,2020/21,S92000003,d,65plus years,Female,Total,d,10350, ,1783.62, ,4310, ,742.75, 
241,1997/98,S08000015, ,0-17 years,Male,Total,d,100, ,232.36, ,100, ,232.36, 
242,1997/98,S08000015, ,0-17 years,Female,Total,d,80, ,191.81, ,80, ,191.81, 
243,1997/98,S08000015, ,18-24 years,Male,Total,d,180, ,1221, ,120, ,814, 
244,1997/98,S08000015, ,18-24 years,Female,Total,d,90, ,628.45, ,70, ,488.79, 
245,1997/98,S08000015, ,25-39 years,Male,Total,d,480, ,1236.16, ,320, ,824.11, 
246,1997/98,S08000015, ,25-39 years,Female,Total,d,440, ,1050.37, ,260, ,620.67, 
247,1997/98,S08000015, ,40-64 years,Male,Total,d,640, ,1125.83, ,440, ,774.01, 
248,1997/98,S08000015, ,40-64 years,Female,Total,d,430, ,713.02, ,290, ,480.87, 
249,1997/98,S08000015, ,65plus years,Male,Total,d,470, ,1934.08, ,300, ,1234.52, 
250,1997/98,S08000015, ,65plus years,Female,Total,d,620, ,1686.25, ,430, ,1169.5, 
251,1997/98,S08000016, ,0-17 years,Male,Total,d,20, ,174.63, ,20, ,174.63, 
252,1997/98,S08000016, ,0-17 years,Female,Total,d,20, ,178.76, ,20, ,178.76, 
253,1997/98,S08000016, ,18-24 years,Male,Total,d,40, ,1122.65, ,20, ,561.32, 
254,1997/98,S08000016, ,18-24 years,Female,Total,d,20, ,566.89, ,10, ,283.45, 
255,1997/98,S08000016, ,25-39 years,Male,Total,d,90, ,815.37, ,60, ,543.58, 
256,1997/98,S08000016, ,25-39 years,Female,Total,d,90, ,800.85, ,50, ,444.92, 
257,1997/98,S08000016, ,40-64 years,Male,Total,d,140, ,840.29, ,80, ,480.16, 
258,1997/98,S08000016, ,40-64 years,Female,Total,d,110, ,631.06, ,70, ,401.58, 
259,1997/98,S08000016, ,65plus years,Male,Total,d,170, ,2080.53, ,100, ,1223.84, 
260,1997/98,S08000016, ,65plus years,Female,Total,d,240, ,2053.21, ,180, ,1539.91, 
261,1997/98,S08000017, ,0-17 years,Male,Total,d,60, ,360.36, ,50, ,300.3, 
262,1997/98,S08000017, ,0-17 years,Female,Total,d,40, ,250.23, ,30, ,187.68, 
263,1997/98,S08000017, ,18-24 years,Male,Total,d,30, ,607.9, ,20, ,405.27, 
264,1997/98,S08000017, ,18-24 years,Female,Total,d,20, ,413.31, ,20, ,413.31, 
265,1997/98,S08000017, ,25-39 years,Male,Total,d,120, ,791.92, ,90, ,593.94, 
266,1997/98,S08000017, ,25-39 years,Female,Total,d,140, ,895.14, ,90, ,575.45, 
267,1997/98,S08000017, ,40-64 years,Male,Total,d,150, ,634.6, ,110, ,465.37, 
268,1997/98,S08000017, ,40-64 years,Female,Total,d,200, ,818.06, ,130, ,531.74, 
269,1997/98,S08000017, ,65plus years,Male,Total,d,140, ,1225.6, ,100, ,875.43, 
270,1997/98,S08000017, ,65plus years,Female,Total,d,180, ,1138.52, ,160, ,1012.02, 
271,1997/98,S08000019, ,0-17 years,Male,Total,d,20, ,62.98, ,10, ,31.49, 
272,1997/98,S08000019, ,0-17 years,Female,Total,d,10, ,32.7, ,10, ,32.7, 
273,1997/98,S08000019, ,18-24 years,Male,Total,d,120, ,1001.84, ,70, ,584.4, 
274,1997/98,S08000019, ,18-24 years,Female,Total,d,70, ,570.17, ,40, ,325.81, 
275,1997/98,S08000019, ,25-39 years,Male,Total,d,290, ,948.05, ,190, ,621.14, 
276,1997/98,S08000019, ,25-39 years,Female,Total,d,240, ,752.8, ,130, ,407.77, 
277,1997/98,S08000019, ,40-64 years,Male,Total,d,290, ,692.67, ,190, ,453.82, 
278,1997/98,S08000019, ,40-64 years,Female,Total,d,250, ,572.27, ,170, ,389.14, 
279,1997/98,S08000019, ,65plus years,Male,Total,d,220, ,1326.42, ,140, ,844.09, 
280,1997/98,S08000019, ,65plus years,Female,Total,d,400, ,1616.29, ,270, ,1091, 
281,1997/98,S08000020, ,0-17 years,Male,Total,d,80, ,131.45, ,80, ,131.45, 
